text,true_emotion,predicted_emotion
The moment you bring her to meet your best friend and you're nervous af! 😬😆  #thefriendtest,fear,fear
Trying to book holiday flights on @britishairways website is becoming a #nightmare,fear,fear
@fatgirlhealthy @MBSCBILL ....so that what do to use violence and intimidation for a polictical agenda.; aka terrorism?,fear,anger
Losing to Villa...'@M0tivati0nQuote: Most of the things people worry about are things that won't even matter to them a few months from now.',fear,sadness
"@madhav_pastey moral of the story, never check mails in the night. PS. Most notices have nothing much to worry about. @ashwinikn",fear,fear
Thanks for ripping me off again #Luthansa €400 not enough for a one way flight to man from Frk then €30 for a bag then free at gate ,fear,anger
Why upping rooms makes a few apprehend leaving out charcoal ownership: UnZU,fear,fear
“We can easily #forgive a #child who is #afraid of the #dark; the real #tragedy of #life is when #men are #afraid of the #light.”–Plato,fear,fear
@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius #awful,fear,anger
The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? ,fear,fear
@TheDappaMc also £2.50 for a chocolate Feast ice lolly.. proper shocking 😩,fear,anger
"@soozclifford Sure have... Sydney are too tough, too quick and their 'team' pressure is too much for the Cats to handle. Motlop/Cowan #timid",fear,fear
"@soozclifford Sure have... Sydney are too tough, too quick and their 'team' pressure is too much for the Cats to handle. Motlop/Cowan ",fear,anger
It really is amazing the money they give to some of these QB's #nfl #texans #brock ,fear,joy
@CNNPolitics I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! #bully,fear,anger
"@diehimbeertonis She developed her 'forced smile'. I can force myself to describe it 'a little hearty maybe, sanki biraz':)",joy,sadness
@harrietemmett great minds think alike. #rejoice,joy,joy
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day #breezy,joy,joy
"@len_snart Mick nods. 'I would like that.' He went back to his food, smiling as he finished it.",joy,joy
"If you don't respond to an email within 7 fays, you wifl be killed by an animated gif of the girl from The Ring.",joy,fear
How can l rule my mind !!!!!! \nIt's hilarious that you can't 😭😑😮,joy,sadness
Google caffeine-an sprightly lengthening into the corridor re seo: WgJ,joy,joy
"I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!",joy,joy
Each day is what you make of it! #goals #challenges #business #goals #optimism #happy #success #photographer #photography #ThursdayThoughts,joy,joy
@Communism_Kills i get the subway melt and make sure it's only hearty italian bread... black olives are a must though,joy,joy
Chris would take full responsibility and would want us all to rejoice in the memories we all had with him.,joy,joy
@harrietemmett great minds think alike. ,joy,joy
Somebody who has braved the storm is brewing. ,joy,fear
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",joy,anger
Heather that was #hilarious! @MsHeatherBates @pattonoswalt @chrishansen #AnthonyWeiner #15gets20 #NYC,joy,joy
@bruins_514 @gorddownie @thehipdotcom It would be #TragicallyHip if they can #help @TOYSFORASMILE make #hospitalized  #sick #kids #smile 😊✌❤,joy,joy
@GameGrumps THANK YOU SO MUCH FOR COMING TO DETROIT I'm going to sob joyful rainbows now brb,joy,joy
Val reminds me of one of the cheerful witches that looks after Aurora in Disney’s Sleeping Beauty. #GBBO,joy,joy
"@DocBellsSwan *peers down at you, eyes crinkling with mirth and affection* I do love ye so, my bonnie Belle.",joy,joy
"...at your age, the heyday in the blood is tame...' @TheArtofCharm #shakespeareaninsults #hamlet #elizabethan #williamshakespeare",joy,anger
"@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay ",sadness,sadness
and for inconsolable Oxford academics - 'Brussels should just ignore the #Brexit vote and tell the UK it can't leave the EU....ever....wah',sadness,anger
“Dyslexia is the affliction of a frozen genius.”― Stephen Richards,sadness,sadness
I can't WAIT to go to work tomorrow with a high as fuck fever. [sarcasm]\nHopefully I'll feel better tomorrow.\nBut I doubt it. #pessimism,sadness,sadness
"Before the year ends I'll probably get master 12s or flu games, true blues, and space jams.",sadness,joy
"@Eeevah14 don't I know it, try not to fret my sweet little pupper",sadness,fear
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",sadness,joy
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,sadness,anger
"Donating to Trump puts a damper on a very exciting @Cubs season. Really bad look, Ricketts family.",sadness,anger
yesterday i finished watching penny dreadful and from all the beautiful things i saw one question remains: were the writers HIM's fans?,sadness,joy
It feel like we lost a family member🙄😂,sadness,sadness
"340:892 All with weary task fordone.\nNow the wasted brands do glow,\nWhilst the scritch-owl, scritching loud,\n#AMNDBots",sadness,sadness
"A pessimist is someone who, when opportunity knocks, complains about the noise #mikeshumor",sadness,joy
"@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay #blues",sadness,sadness
@abra @abra @abra what're you doing to my ears? To my soul?! #GoodMusic #melancholy,sadness,sadness
"@GRIPLIKEAVICE_ I wouldn't mind if it didn't you know, threaten my job when I disagree. Puts a damper on things.",sadness,fear
"@kempicepoland don't think he did, and he didn't have the rucksack or laptop in his possession, murky business, on that note I'm away to bed",sadness,sadness
@pmo100 @5liveSport .....I heard talk something is a miss. He looks weary.,sadness,sadness
@OHSOVICTORIOUS_ @FaZeAdapt We all seen it coming.. it's sad. But her Instagram comments on her pics are funny. Adapts fans blew it up 😂😂😂,sadness,sadness
watching this uni reveal is so depressing i miss stingrays :(,sadness,sadness
